,open,high,low,close
2026-05-08 00:00:00,4704.4349999999995,4706.685,4704.4349999999995,4705.225
2026-05-08 00:01:00,4705.2,4706.415,4703.905000000001,4704.125000000001
2026-05-08 00:02:00,4703.725,4703.875,4702.360000000001,4703.8550000000005
2026-05-08 00:03:00,4703.88,4705.175,4703.56,4704.26
2026-05-08 00:04:00,4704.0,4704.545,4701.815,4703.1849999999995
2026-05-08 00:05:00,4703.165,4705.075,4702.71,4705.005
2026-05-08 00:06:00,4704.975,4708.365000000001,4704.675,4708.18
2026-05-08 00:07:00,4708.25,4708.275000000001,4706.1050000000005,4706.21
2026-05-08 00:08:00,4706.17,4708.175,4706.0,4707.4349999999995
2026-05-08 00:09:00,4707.425,4708.18,4706.96,4707.825
2026-05-08 00:10:00,4707.83,4709.6050000000005,4707.26,4709.475
2026-05-08 00:11:00,4709.4935,4709.4935,4707.3949999999995,4707.975
2026-05-08 00:12:00,4707.965,4707.985,4705.3150000000005,4705.82
2026-05-08 00:13:00,4705.8,4705.8,4701.665,4701.765
2026-05-08 00:14:00,4701.875,4703.005,4701.68,4702.935
2026-05-08 00:15:00,4702.965,4702.99,4698.145,4700.05
2026-05-08 00:16:00,4700.070000000001,4701.175,4699.425,4701.025
2026-05-08 00:17:00,4701.085,4701.725,4698.2300000000005,4699.745
2026-05-08 00:18:00,4699.73,4700.06,4694.255,4695.265
2026-05-08 00:19:00,4695.16,4696.044999999999,4694.27,4695.4800000000005
2026-05-08 00:20:00,4695.5,4696.7435,4694.195,4696.615
2026-05-08 00:21:00,4696.635,4700.625,4696.46,4700.39
2026-05-08 00:22:00,4700.38,4703.55,4700.014999999999,4703.45
2026-05-08 00:23:00,4703.515,4704.9885,4703.46,4704.3
2026-05-08 00:24:00,4704.34,4704.34,4702.83,4703.88
2026-05-08 00:25:00,4703.9214999999995,4705.554999999999,4703.625,4704.445
2026-05-08 00:26:00,4704.41,4705.89,4703.6050000000005,4703.775000000001
2026-05-08 00:27:00,4703.709999999999,4703.709999999999,4701.67,4701.835
2026-05-08 00:28:00,4701.745,4701.745,4696.505,4696.745
2026-05-08 00:29:00,4696.82,4697.75,4696.565,4697.325
2026-05-08 00:30:00,4697.285,4699.655,4696.285,4698.885
2026-05-08 00:31:00,4698.895,4700.898499999999,4697.849999999999,4700.8634999999995
2026-05-08 00:32:00,4700.818499999999,4703.2635,4700.818499999999,4702.53
2026-05-08 00:33:00,4702.528499999999,4703.77,4700.9,4701.135
2026-05-08 00:34:00,4701.045000000001,4704.045,4700.790000000001,4703.415
2026-05-08 00:35:00,4703.385,4704.5635,4703.185,4704.25
2026-05-08 00:36:00,4704.224999999999,4704.224999999999,4701.625,4703.63
2026-05-08 00:37:00,4703.68,4703.715,4702.445,4702.95
2026-05-08 00:38:00,4702.93,4704.4235,4702.89,4704.21
2026-05-08 00:39:00,4704.19,4706.5,4703.839999999999,4704.275
2026-05-08 00:40:00,4704.295,4706.6335,4704.19,4706.150000000001
2026-05-08 00:41:00,4706.17,4707.5885,4706.17,4707.325
2026-05-08 00:42:00,4707.3585,4707.3735,4706.355,4706.385
2026-05-08 00:43:00,4706.335,4708.2585,4706.305,4707.4349999999995
2026-05-08 00:44:00,4707.125,4707.15,4704.9,4705.1
2026-05-08 00:45:00,4705.13,4705.8949999999995,4701.71,4701.825
2026-05-08 00:46:00,4702.035,4702.129999999999,4700.115,4701.005
2026-05-08 00:47:00,4700.94,4702.04,4700.725,4701.355
2026-05-08 00:48:00,4701.285,4702.415000000001,4700.24,4702.01
2026-05-08 00:49:00,4701.985000000001,4702.54,4700.095,4700.225
2026-05-08 00:50:00,4700.115,4701.28,4700.04,4700.735000000001
2026-05-08 00:51:00,4700.695000000001,4701.435,4698.895,4699.255
2026-05-08 00:52:00,4699.235000000001,4701.005,4699.160000000001,4700.345
2026-05-08 00:53:00,4700.295,4700.575,4698.530000000001,4699.635
