,open,high,low,close
2026-06-05 00:00:00,4461.7699999999995,4462.205,4460.355,4461.035
2026-06-05 00:01:00,4460.985000000001,4464.24,4459.46,4460.889999999999
2026-06-05 00:02:00,4460.82,4462.91,4460.82,4461.97
2026-06-05 00:03:00,4462.04,4463.49,4461.84,4462.04
2026-06-05 00:04:00,4462.14,4463.150000000001,4462.0199999999995,4462.31
2026-06-05 00:05:00,4462.35,4465.1435,4462.35,4463.695
2026-06-05 00:06:00,4463.67,4463.78,4461.955,4462.135
2026-06-05 00:07:00,4462.165,4462.55,4461.445000000001,4461.495
2026-06-05 00:08:00,4461.54,4462.065,4460.685,4461.594999999999
2026-06-05 00:09:00,4461.634999999999,4461.974999999999,4459.8265,4461.43
2026-06-05 00:10:00,4461.435,4462.735,4461.435,4461.575000000001
2026-06-05 00:11:00,4461.615000000001,4461.764999999999,4459.885,4460.465
2026-06-05 00:12:00,4460.514999999999,4460.605,4454.41,4455.145
2026-06-05 00:13:00,4455.17,4456.725,4455.15,4456.17
2026-06-05 00:14:00,4456.285,4456.924999999999,4454.895,4455.6835
2026-06-05 00:15:00,4455.629999999999,4457.765,4454.59,4455.2300000000005
2026-06-05 00:16:00,4455.09,4455.1050000000005,4452.61,4452.78
2026-06-05 00:17:00,4452.74,4454.4185,4452.425,4453.33
2026-06-05 00:18:00,4453.2,4454.33,4452.81,4454.09
2026-06-05 00:19:00,4454.14,4454.5,4452.1615,4452.49
2026-06-05 00:20:00,4452.514999999999,4453.13,4450.860000000001,4452.3285000000005
2026-06-05 00:21:00,4452.318499999999,4453.0935,4450.983499999999,4452.94
2026-06-05 00:22:00,4452.92,4455.365000000001,4452.254999999999,4454.7865
2026-06-05 00:23:00,4454.805,4455.875,4454.1065,4455.015
2026-06-05 00:24:00,4454.9965,4455.115,4452.88,4454.5
2026-06-05 00:25:00,4454.4800000000005,4455.580000000001,4453.1,4455.500000000001
2026-06-05 00:26:00,4455.450000000001,4456.4400000000005,4454.64,4454.89
2026-06-05 00:27:00,4454.865,4456.4800000000005,4454.405,4454.42
2026-06-05 00:28:00,4454.29,4456.8550000000005,4453.9915,4456.62
2026-06-05 00:29:00,4456.625,4457.79,4455.84,4457.5515
